RUT,NOMBRE,TIPO_CONTRATO,TIPO_CAJA,PLANTA_ID
44.444.444-4,Roberto Carlos Gómez Silva,indefinido,alternativa,1
55.555.555-5,Claudia Patricia Torres Muñoz,fijo,estandar,2
66.666.666-6,Fernando Andrés Díaz Rojas,indefinido,alternativa,1
19.123.456-7,Patricia Elena Morales Vega,indefinido,alternativa,1
15.987.654-3,Miguel Ángel Ruiz Pérez,fijo,estandar,3
14.567.890-1,Carmen Gloria Soto Fuentes,indefinido,alternativa,1
13.456.789-0,Jorge Luis Contreras Vera,fijo,estandar,2
12.345.678-9,Andrea Beatriz Ramírez Castro,indefinido,alternativa,1
11.234.567-8,Francisco Javier Núñez Lagos,fijo,estandar,1
10.123.456-7,Daniela Alejandra Castillo Bravo,indefinido,alternativa,2
19.821.860-7,Pedro Antonio Torres Fuentes,fijo,estandar,3
16.360.057-4,Laura Antonio González Pérez,fijo,estandar,1
12.924.118-K,Carmen Carolina Díaz Muñoz,indefinido,alternativa,2
11.470.750-9,José Daniela Silva Pérez,fijo,estandar,1
23.506.641-8,Diego Humberto Contreras Martínez,indefinido,alternativa,2
10.980.405-6,Fernando Beatriz Flores González,fijo,estandar,1
23.880.246-3,Jorge Beatriz Rojas Silva,indefinido,alternativa,2
20.462.200-6,Paula Natalia Díaz Rojas,fijo,estandar,1
11.567.313-7,Juan Alejandro Hernández Valenzuela,indefinido,alternativa,3
18.026.153-4,Manuel Andrés Muñoz Sepúlveda,fijo,estandar,1
23.168.607-K,José Paz López Soto,fijo,estandar,2
10.530.363-7,Ana Javier Rodríguez Sepúlveda,indefinido,alternativa,3
19.192.775-0,Isabel Francisco Díaz Pérez,fijo,estandar,2
19.503.870-1,Carmen Esteban Araya Rojas,fijo,estandar,3
18.915.085-8,Ricardo Daniela Sepúlveda Torres,fijo,estandar,1
12.609.623-8,Valentina Beatriz González Espinoza,indefinido,alternativa,3
17.470.494-2,Sofía Andrés Hernández Díaz,fijo,estandar,3
21.843.869-6,Fernando Paz Fuentes Fuentes,fijo,estandar,3
16.557.419-5,Isabel Patricio Espinoza González,fijo,estandar,3
14.021.937-0,Isabel Paz González Martínez,indefinido,alternativa,2
