id,nombre,rut,tipo_contrato,tipo_caja,campana_id,planta_id
46,Claudia,17.234.567-8,fijo,alternativa,12,1
47,Fernando,18.876.543-2,indefinido,estandar,12,2
48,Patricia,19.123.456-7,fijo,alternativa,12,3
49,Miguel,15.987.654-3,indefinido,estandar,12,2
50,Carmen,14.567.890-1,fijo,alternativa,12,2
51,Jorge,13.456.789-0,indefinido,estandar,12,2
52,Andrea,12.345.678-9,fijo,alternativa,12,3
53,Javier,11.223.344-5,indefinido,estandar,12,3
54,Sofía,10.998.877-6,fijo,alternativa,12,3
55,Luis,20.001.122-3,indefinido,estandar,12,1
56,Valeria,21.112.233-4,fijo,alternativa,12,1
57,Martín,22.223.344-5,indefinido,estandar,12,1
58,Paula,23.334.455-6,fijo,alternativa,12,1
59,Diego,24.445.566-7,indefinido,estandar,12,1
60,Elena,25.556.677-8,fijo,alternativa,12,2
61,Felipe,26.667.788-9,indefinido,estandar,12,2
62,Camila,27.778.899-0,fijo,alternativa,12,2
63,Gabriel,28.889.900-1,indefinido,estandar,12,2
64,Natalia,29.990.011-2,fijo,alternativa,12,1
65,Héctor,30.001.122-3,indefinido,estandar,12,1
66,Adriana,31.112.233-4,fijo,alternativa,12,1
67,Sebastián,32.223.344-5,indefinido,estandar,12,1
68,Ignacia,33.334.455-6,fijo,alternativa,12,1
69,Mauricio,34.445.566-7,indefinido,estandar,12,1
