RUT,NOMBRE,TIPO_CONTRATO,TIPO_CAJA,PLANTA_ID
16.543.210-9,Roberto Carlos Gómez Silva,Indefinido,estandar,1
17.234.567-8,Claudia Patricia Torres Muñoz,Plazo Fijo,estandar,2
18.876.543-2,Fernando Andrés Díaz Rojas,Indefinido,especial,1
19.123.456-7,Patricia Elena Morales Vega,Indefinido,estandar,1
15.987.654-3,Miguel Ángel Ruiz Pérez,Plazo Fijo,premium,3
14.567.890-1,Carmen Gloria Soto Fuentes,Indefinido,estandar,1
13.456.789-0,Jorge Luis Contreras Vera,Plazo Fijo,estandar,2
12.345.678-9,Andrea Beatriz Ramírez Castro,Indefinido,especial,1
11.234.567-8,Francisco Javier Núñez Lagos,Plazo Fijo,estandar,1
10.123.456-7,Daniela Alejandra Castillo Bravo,Indefinido,estandar,2
